stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2:156:JDFS-25,,Skršín,,50.46296,13.7463226,246,,0,,Europe/Prague,0,
2:157:JDFS-1,,"Dolní Podluží,,drůbežárna",,50.8796534,14.6070852,366,,0,,Europe/Prague,0,
2:157:JDFS-10,,"Jiřetín p.Jedlovou,,nám.",,50.8752441,14.574049,365,,0,,Europe/Prague,0,
2:157:JDFS-15,,"Varnsdorf,,Horská",,50.90426365,14.6197839,371,,0,,Europe/Prague,0,
2:157:JDFS-17,,"Varnsdorf,,jatky",,50.891813225,14.62291815,371,,0,,Europe/Prague,0,
2:157:JDFS-18,,"Varnsdorf,,Karla IV.",,50.89896585,14.61922835,371,,0,,Europe/Prague,0,
2:157:JDFS-2,,"Dolní Podluží,,kino",,50.88148115,14.5806651,366,,0,,Europe/Prague,0,
2:157:JDFS-24,,"Chřibská,Horní Chřibská",,50.8577769,14.4892478,361,,0,,Europe/Prague,0,
2:157:JDFS-25,,"Chřibská,Horní Chřibská,sklárna",,50.85818195,14.50122975,361,,0,,Europe/Prague,0,
2:157:JDFS-26,,"Chřibská,Krásné Pole",,50.84872,14.5048523,361,,0,,Europe/Prague,0,
2:157:JDFS-28,,"Varnsdorf,,Bratislavská",,50.9105644,14.64034,371,,0,,Europe/Prague,0,
2:157:JDFS-29,,"Varnsdorf,,Vasped",,50.9080849,14.6488285,371,,0,,Europe/Prague,0,
2:157:JDFS-3,,"Dolní Podluží,,křiž.",,50.875590975,14.584053775,"366,366",,0,,Europe/Prague,0,
2:157:JDFS-30,,"Varnsdorf,,Žitavská",,50.9080238,14.6424723,371,,0,,Europe/Prague,0,
2:157:JDFS-32,,"Horní Podluží,,dolní",,50.8831463,14.56845715,364,,0,,Europe/Prague,0,
2:157:JDFS-4,,"Dolní Podluží,,škola",,50.8797722,14.59526015,366,,0,,Europe/Prague,0,
