route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
-CISR-512410-1,2:8:CIST-512410-1-155,2:8:CIST-512410-1-155,,512410 155,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-201,2:8:CIST-512410-1-201,,512410 201,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-202,2:8:CIST-512410-1-202,,512410 202,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-203,2:8:CIST-512410-1-203,,512410 203,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-204,2:8:CIST-512410-1-204,,512410 204,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-205,2:8:CIST-512410-1-205,,512410 205,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-206,2:8:CIST-512410-1-206,,512410 206,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-207,2:8:CIST-512410-1-207,,512410 207,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-208,2:8:CIST-512410-1-208,,512410 208,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-209,2:8:CIST-512410-1-209,,512410 209,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-210,2:8:CIST-512410-1-210,,512410 210,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-211,2:8:CIST-512410-1-211,,512410 211,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-212,2:8:CIST-512410-1-212,,512410 212,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-213,2:8:CIST-512410-1-213,,512410 213,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-214,2:8:CIST-512410-1-214,,512410 214,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-215,2:8:CIST-512410-1-215,,512410 215,1,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-216,2:8:CIST-512410-1-216,,512410 216,0,,,1,2
-CISR-512410-1,2:8:CIST-512410-1-217,2:8:CIST-512410-1-217,,512410 217,1,,,1,2
-CISR-552631-1,2:9:CIST-552631-1-151,2:9:CIST-552631-1-151,,552631 151,1,,,1,2
-CISR-552631-1,2:9:CIST-552631-1-152,2:9:CIST-552631-1-152,,552631 152,0,,,1,2
